,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
113,s179,Movie,The Interview,"Evan Goldberg, Seth Rogen",United States,09-01-2021,2014,R,112 min,"Action & Adventure, Comedies"
118,s186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",United States,8/31/2021,2021,TV-MA,86 min,"Documentaries, Sports Movies"
120,s191,Movie,Thimmarusu,Sharan Koppisetty,India,8/28/2021,2021,TV-14,125 min,"Dramas, International Movies"
121,s192,Movie,Wind River,Taylor Sheridan,United Kingdom,8/28/2021,2017,R,107 min,"Dramas, Independent Movies"
123,s197,Movie,He's All That,Mark Waters,United States,8/27/2021,2021,TV-14,92 min,"Comedies, Romantic Movies"
125,s199,TV Show,King of Boys: The Return of the King,Kemi Adetiba,Nigeria,8/27/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
130,s204,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,India,8/27/2021,2016,TV-MA,124 min,"Comedies, International Movies"
131,s205,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,India,8/27/2021,2012,TV-MA,136 min,"Comedies, International Movies"
133,s207,Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,India,8/27/2021,2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies"
135,s209,Movie,Once Upon a Time in Mumbaai,Milan Luthria,India,8/27/2021,2010,TV-14,133 min,"Dramas, International Movies, Music & Musicals"
136,s210,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,8/27/2021,2013,TV-14,142 min,"Dramas, International Movies, Music & Musicals"
137,s211,Movie,Ragini MMS,Pawan Kripalani,India,8/27/2021,2011,TV-MA,93 min,"Horror Movies, International Movies"
138,s212,Movie,Ragini MMS 2,Bhushan Patel,India,8/27/2021,2014,TV-MA,113 min,"Horror Movies, International Movies"
139,s223,TV Show,Clickbait,Brad Anderson,United States,8/25/2021,2021,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries"
141,s217,Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.",India,8/27/2021,2011,TV-14,106 min,"Comedies, Dramas, Independent Movies"
142,s218,Movie,The Dirty Picture,Milan Luthria,India,8/27/2021,2011,TV-14,145 min,"Comedies, Dramas, International Movies"
143,s228,Movie,Really Love,Angel Kristi Williams,United States,8/25/2021,2020,TV-MA,95 min,"Dramas, Independent Movies, Romantic Movies"
144,s229,Movie,The November Man,Roger Donaldson,United States,8/25/2021,2014,R,108 min,Action & Adventure
145,s230,Movie,The Old Ways,Christopher Alender,United States,8/25/2021,2020,TV-MA,90 min,Horror Movies
146,s232,Movie,The Water Man,David Oyelowo,United States,8/25/2021,2021,PG,92 min,"Children & Family Movies, Dramas"
147,s234,Movie,Count Me In,Mark Lo,United Kingdom,8/24/2021,2021,TV-MA,82 min,"Documentaries, Music & Musicals"
148,s269,Movie,Unroyal,Moses Inwang,Nigeria,8/15/2021,2020,TV-MA,97 min,"Dramas, International Movies"
149,s248,Movie,Sweet Girl,Brian Andrew Mendoza,United States,8/20/2021,2021,R,110 min,"Action & Adventure, Dramas"
150,s252,Movie,Like Crazy,Drake Doremus,United States,8/19/2021,2011,PG-13,91 min,"Dramas, Independent Movies, Romantic Movies"
152,s260,Movie,Pahuna,Paakhi Tyrewala,India,8/18/2021,2018,TV-PG,82 min,"Comedies, Dramas, International Movies"
153,s258,Movie,O Kadhal Kanmani,Mani Ratnam,India,8/18/2021,2015,TV-14,133 min,"Dramas, International Movies, Romantic Movies"
154,s262,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,Brazil,8/18/2021,2021,TV-14,97 min,"Comedies, International Movies, Romantic Movies"
155,s265,Movie,Walk of Shame,Steve Brill,United States,8/16/2021,2014,R,94 min,"Comedies, Independent Movies"
156,s263,Movie,Untold: Deal With the Devil,Laura Brownson,United States,8/18/2021,2021,TV-MA,78 min,"Documentaries, LGBTQ Movies, Sports Movies"
158,s458,Movie,Lift Like a Girl,Mayye Zayed,Egypt,7/15/2021,2021,TV-PG,93 min,"Documentaries, International Movies, Sports Movies"
159,s271,Movie,Beckett,Ferdinando Cito Filomarino,Italy,8/13/2021,2021,TV-MA,110 min,Action & Adventure
160,s274,TV Show,Gone for Good,Juan Carlos Medina,France,8/13/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
161,s277,TV Show,Valeria,Inma Torrente,Spain,8/13/2021,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
162,s279,Movie,Lokillo: Nothing's the Same,Julián Gaviria,Colombia,08-12-2021,2021,TV-MA,64 min,Stand-Up Comedy
163,s280,Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,United States,08-12-2021,2021,TV-PG,59 min,"Action & Adventure, Anime Features, Children & Family Movies"
164,s282,Movie,Brother Jekwu,Charles Uwagbai,Nigeria,08-11-2021,2016,TV-14,101 min,"Comedies, International Movies"
165,s283,Movie,La diosa del asfalto,Julián Hernández,Mexico,08-11-2021,2020,TV-MA,127 min,"Dramas, Independent Movies, International Movies"
166,s284,Movie,Misha and the Wolves,Sam Hobkinson,Belgium,08-11-2021,2021,PG-13,90 min,"Documentaries, International Movies"
167,s285,Movie,The Kissing Booth 3,Vince Marcello,United Kingdom,08-11-2021,2021,TV-14,114 min,"Comedies, Romantic Movies"
168,s286,Movie,The Railway Man,Jonathan Teplitzky,Switzerland,08-11-2021,2013,R,108 min,"Dramas, International Movies"
169,s291,Movie,Untold: Malice at the Palace,Floyd Russ,United States,08-10-2021,2021,TV-MA,70 min,"Documentaries, Sports Movies"
170,s293,Movie,Quartet,Dustin Hoffman,United Kingdom,08-08-2021,2012,PG-13,98 min,"Comedies, Dramas, Independent Movies"
171,s294,Movie,Slay,Adze Ugah,South Africa,08-08-2021,2021,TV-MA,86 min,"Comedies, International Movies, Romantic Movies"
172,s296,Movie,The Paper Tigers,Quoc Bao Tran,United States,08-07-2021,2021,PG-13,111 min,"Action & Adventure, Comedies"
173,s298,TV Show,Navarasa,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon",India,08-06-2021,2021,TV-MA,1 Season,TV Shows
174,s299,Movie,Quam's Money,Kayode Kasum,Nigeria,08-06-2021,2020,TV-MA,115 min,"Comedies, Dramas, International Movies"
175,s300,Movie,The Swarm,Just Philippot,France,08-06-2021,2021,TV-14,102 min,"Horror Movies, Independent Movies, International Movies"
176,s301,Movie,Vivo,"Kirk DeMicco, Brandon Jeffords",Canada,08-06-2021,2021,PG,100 min,"Children & Family Movies, Music & Musicals"
177,s302,Movie,Chennai Express,Rohit Shetty,India,08-05-2021,2013,TV-14,135 min,"Action & Adventure, Comedies, International Movies"
178,s303,Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",Brazil,08-05-2021,2013,TV-MA,69 min,"Documentaries, International Movies"
180,s305,Movie,Lady Boss: The Jackie Collins Story,Laura Fairrie,United Kingdom,08-05-2021,2021,TV-14,97 min,Documentaries
182,s307,Movie,76,Izu Ojukwu,Nigeria,08-04-2021,2016,TV-PG,118 min,"Dramas, International Movies"
183,s308,Movie,Aftermath,Peter Winther,United States,08-04-2021,2021,TV-MA,115 min,Horror Movies
184,s309,Movie,American Masters: Inventing David Geffen,Susan Lacy,United States,08-04-2021,2012,TV-MA,115 min,Movies
185,s311,TV Show,Cocaine Cowboys: The Kings of Miami,Billy Corben,United States,08-04-2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries"
187,s316,Movie,Ije: The Journey,Chineze Anyaene,United States,08-03-2021,2010,TV-MA,106 min,"Dramas, International Movies"
188,s317,TV Show,Office Girls,Hsu Fu-chun,Taiwan,08-03-2021,2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
189,s318,Movie,Pray Away,Kristine Stolakis,United States,08-03-2021,2021,PG-13,102 min,"Documentaries, LGBTQ Movies"
193,s329,Movie,Boyka: Undisputed,Todor Chapkanov,Bulgaria,08-01-2021,2016,R,90 min,Action & Adventure
198,s335,Movie,Five Feet Apart,Justin Baldoni,United States,08-01-2021,2019,PG-13,116 min,"Dramas, Romantic Movies"
201,s341,Movie,Inception,Christopher Nolan,United States,08-01-2021,2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers"
206,s346,Movie,Open Season: Scared Silly,David Feiss,United States,08-01-2021,2015,PG,85 min,"Children & Family Movies, Comedies"
209,s349,Movie,Poms,Zara Hayes,United Kingdom,08-01-2021,2019,PG-13,91 min,Comedies
213,s353,Movie,The Edge of Seventeen,Kelly Fremon Craig,United States,08-01-2021,2016,R,105 min,"Comedies, Dramas"
214,s354,Movie,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,United States,08-01-2021,2013,R,101 min,Horror Movies
216,s356,Movie,The Lincoln Lawyer,Brad Furman,United States,08-01-2021,2011,R,118 min,"Dramas, Thrillers"
217,s357,Movie,The Losers,Sylvain White,United States,08-01-2021,2010,PG-13,97 min,Action & Adventure
221,s361,Movie,Valentine's Day,Garry Marshall,United States,08-01-2021,2010,PG-13,125 min,"Comedies, Romantic Movies"
222,s363,Movie,The Lost Café,Kenneth Gyang,Nigeria,7/31/2021,2018,TV-14,76 min,"Dramas, International Movies"
223,s366,Movie,Eyes of a Thief,Najwa Najjar,France,7/30/2021,2014,TV-14,103 min,"Dramas, Independent Movies, International Movies"
225,s420,Movie,Chhota Bheem: Bheem vs Aliens,Rajiv Chilaka,India,7/22/2021,2010,TV-Y7,69 min,"Children & Family Movies, Sports Movies"
226,s375,Movie,Flower Girl,Michelle Bello,Nigeria,7/29/2021,2013,TV-PG,94 min,"Comedies, International Movies, Romantic Movies"
227,s378,Movie,Bartkowiak,Daniel Markowicz,Poland,7/28/2021,2021,TV-MA,92 min,"Action & Adventure, International Movies"
228,s379,Movie,Fantastic Fungi,Louie Schwartzberg,United States,7/28/2021,2019,TV-14,81 min,Documentaries
229,s381,TV Show,The Flash,Glen Winter,United States,7/28/2021,2021,TV-14,7 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy"
230,s388,Movie,Mimi,Laxman Utekar,India,7/27/2021,2021,TV-14,132 min,"Comedies, Dramas, International Movies"
231,s396,Movie,Bankrolled,Marcos Bucay,Mexico,7/23/2021,2021,TV-MA,97 min,"Comedies, International Movies"
232,s384,Movie,Department,Ram Gopal Varma,India,7/27/2021,2012,TV-MA,143 min,"Action & Adventure, International Movies"
233,s399,Movie,Kingdom: Ashin of the North,Kim Seong-hun,South Korea,7/23/2021,2021,TV-MA,94 min,"Horror Movies, International Movies, Thrillers"
234,s390,Movie,The Operative,Yuval Adler,France,7/27/2021,2019,TV-MA,117 min,"Dramas, International Movies, Thrillers"
235,s393,Movie,Django Unchained,Quentin Tarantino,United States,7/24/2021,2012,R,165 min,"Action & Adventure, Dramas"
236,s394,Movie,A Second Chance:  Rivals!,Clay Glen,Australia,7/23/2021,2021,PG,91 min,"Children & Family Movies, Sports Movies"
237,s407,Movie,Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka,India,7/22/2021,2013,TV-Y7,64 min,Children & Family Movies
239,s409,Movie,Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,India,7/22/2021,2011,TV-Y7,67 min,Children & Family Movies
240,s403,Movie,The Last Letter From Your Lover,Augustine Frizzell,United Kingdom,7/23/2021,2021,TV-MA,111 min,"Dramas, Romantic Movies"
241,s410,Movie,Chhota Bheem & Krishna: Pataliputra- City of the Dead,Rajiv Chilaka,India,7/22/2021,2010,TV-Y7,66 min,Children & Family Movies
242,s412,Movie,Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka,India,7/22/2021,2013,TV-Y7,64 min,Children & Family Movies
243,s411,Movie,Chhota Bheem And The Broken Amulet,Rajiv Chilaka,India,7/22/2021,2013,TV-Y7,64 min,Children & Family Movies
245,s413,Movie,Chhota Bheem and the Incan Adventure,Rajiv Chilaka,India,7/22/2021,2013,TV-Y7,65 min,Children & Family Movies
246,s414,Movie,Chhota Bheem and The ShiNobi Secret,Rajiv Chilaka,India,7/22/2021,2013,TV-Y7,64 min,Children & Family Movies
247,s415,Movie,Chhota Bheem Aur Hanuman,Rajiv Chilaka,India,7/22/2021,2012,TV-Y7,68 min,Children & Family Movies
248,s417,Movie,Chhota Bheem aur Krishna vs Zimbara,Rajiv Chilaka,India,7/22/2021,2013,TV-Y7,64 min,Children & Family Movies
249,s421,Movie,Chhota Bheem: Dholakpur to Kathmandu,Rajiv Chilaka,India,7/22/2021,2012,TV-Y7,70 min,Children & Family Movies
250,s427,Movie,Cousins,"Ainsley Gardiner, Briar Grace-Smith",New Zealand,7/22/2021,2021,TV-MA,99 min,Dramas
251,s430,Movie,Sanitation Day,Seyi Babatope,Nigeria,7/21/2021,2020,TV-14,105 min,"Dramas, International Movies, Thrillers"
252,s423,Movie,Chhota Bheem: Journey to Petra,Rajiv Chilaka,India,7/22/2021,2011,TV-Y7,68 min,Children & Family Movies
253,s424,Movie,Chhota Bheem: Master of Shaolin,Rajiv Chilaka,India,7/22/2021,2011,TV-Y7,74 min,Children & Family Movies
254,s434,Movie,Milkwater,Morgan Ingari,United States,7/20/2021,2020,TV-MA,102 min,"Comedies, Dramas, Independent Movies"
255,s425,Movie,Chhota Bheem: The Rise of Kirmada,Rajiv Chilaka,India,7/22/2021,2012,TV-Y7,68 min,Children & Family Movies
256,s428,Movie,Wannabe Courageous,Mahmoud Karim,Egypt,7/22/2021,2019,TV-14,90 min,"Comedies, International Movies"
257,s437,Movie,The Tambour of Retribution,Abdulaziz Alshlahei,Saudi Arabia,7/19/2021,2021,TV-14,91 min,"Dramas, International Movies, Romantic Movies"
258,s438,Movie,Cosmic Sin,Edward Drake,United States,7/17/2021,2021,R,88 min,Action & Adventure
259,s440,Movie,Deep,"Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela",Thailand,7/16/2021,2021,TV-MA,101 min,"Dramas, International Movies, Thrillers"
261,s446,Movie,The Beguiled,Sofia Coppola,United States,7/16/2021,2017,R,94 min,"Dramas, Independent Movies, Thrillers"
262,s447,Movie,The Book of Henry,Colin Trevorrow,United States,7/16/2021,2017,PG-13,105 min,Dramas
263,s448,Movie,The Twilight Saga: Breaking Dawn: Part 1,Bill Condon,United States,7/16/2021,2011,PG-13,117 min,"Dramas, Romantic Movies"
264,s449,Movie,The Twilight Saga: Breaking Dawn: Part 2,Bill Condon,United States,7/16/2021,2012,PG-13,115 min,"Dramas, Romantic Movies"
265,s450,Movie,The Twilight Saga: Eclipse,David Slade,United States,7/16/2021,2010,PG-13,124 min,"Dramas, Romantic Movies"
268,s453,Movie,A Perfect Fit,Hadrah Daeng Ratu,Indonesia,7/15/2021,2021,TV-PG,113 min,"Comedies, Dramas, International Movies"
270,s463,Movie,This Changes Everything,Tom Donahue,United States,7/15/2021,2019,TV-MA,96 min,Documentaries
271,s464,Movie,A Classic Horror Story,"Roberto De Feo, Paolo Strippoli",Italy,7/14/2021,2021,TV-MA,95 min,"Horror Movies, International Movies"
272,s470,Movie,American Woman,Semi Chellas,United States,7/13/2021,2019,TV-MA,87 min,"Dramas, Independent Movies"
273,s474,Movie,Born to Play,Viridiana Lieberman,United States,07-12-2021,2020,TV-MA,93 min,"Documentaries, Sports Movies"
274,s475,Movie,American Ultra,Nima Nourizadeh,United States,07-10-2021,2015,R,96 min,"Action & Adventure, Comedies"
275,s485,Movie,Lee Su-geun: The Sense Coach,Kim Joo-hyung,South Korea,07-09-2021,2021,TV-G,46 min,Stand-Up Comedy
276,s487,Movie,Ratchet and Clank,"Jericca Cleland, Kevin Munroe",Hong Kong,07-09-2021,2016,PG,94 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
277,s490,Movie,Back to Q82,Ahmed Siddiqui,Kuwait,07-08-2021,2017,TV-14,104 min,"Comedies, International Movies"
278,s492,Movie,Home Again,Hallie Meyers-Shyer,United States,07-08-2021,2017,PG-13,97 min,"Comedies, Dramas, Romantic Movies"
279,s493,Movie,Midnight Sun,Scott Speer,United States,07-08-2021,2018,PG-13,91 min,"Dramas, Romantic Movies"
280,s495,Movie,Rock the Kasbah,Barry Levinson,United States,07-08-2021,2015,R,106 min,"Comedies, Music & Musicals"
281,s497,Movie,Brick Mansions,Camille Delamarre,France,07-07-2021,2014,PG-13,90 min,"Action & Adventure, International Movies"
282,s502,Movie,Mama Drama,Seyi Babatope,Nigeria,07-07-2021,2020,TV-MA,105 min,"Dramas, International Movies"
283,s503,Movie,Tango With Me,Mahmood Ali-Balogun,Nigeria,07-07-2021,2010,TV-14,104 min,"Dramas, International Movies, Romantic Movies"
284,s504,TV Show,The Mire,Jan Holoubek,Poland,07-07-2021,2021,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas"
285,s507,Movie,This Little Love Of Mine,Christine Luby,Australia,07-07-2021,2021,TV-G,92 min,"International Movies, Romantic Movies"
286,s509,Movie,A Land Imagined,Yeo Siew Hua,France,07-06-2021,2019,TV-MA,95 min,"Dramas, International Movies"
287,s519,Movie,Har Kisse Ke Hisse: Kaamyaab,Hardik Mehta,India,07-06-2021,2020,TV-14,105 min,"Dramas, International Movies"
288,s529,Movie,Rehmataan,"Rajveer Singh Maan, Harpeet Singh",India,07-06-2021,2012,TV-14,116 min,"Dramas, International Movies, Romantic Movies"
290,s532,Movie,Rise: Ini Kalilah,"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath",Malaysia,07-06-2021,2018,TV-PG,101 min,"Dramas, International Movies"
291,s535,Movie,Si Doel the Movie 2,Rano Karno,Indonesia,07-06-2021,2019,TV-G,95 min,"Dramas, International Movies"
292,s542,Movie,Truckbhar Swapna,Pramod Pawar,India,07-06-2021,2018,TV-14,128 min,"Comedies, Dramas, International Movies"
294,s552,Movie,Haseen Dillruba,Vinil Mathew,India,07-02-2021,2021,TV-MA,136 min,"International Movies, Romantic Movies, Thrillers"
295,s555,Movie,RattleSnake - The Ahanna Story,Ramsey Nouah,Nigeria,07-02-2021,2020,TV-MA,136 min,"Dramas, International Movies, Thrillers"
296,s556,Movie,Snowpiercer,Bong Joon Ho,South Korea,07-02-2021,2013,R,126 min,"Action & Adventure, Cult Movies, International Movies"
297,s557,Movie,The 8th Night,Kim Tae-hyung,South Korea,07-02-2021,2021,TV-14,116 min,"Horror Movies, International Movies, Thrillers"
298,s558,Movie,Winchester,"Michael Spierig, Peter Spierig",Australia,07-02-2021,2018,PG-13,100 min,"Horror Movies, Sci-Fi & Fantasy"
299,s559,Movie,6 Bullets,Ernie Barbarash,United States,07-01-2021,2012,R,115 min,Action & Adventure
308,s570,Movie,Dreamy Eyes,Victor Vu,Vietnam,07-01-2021,2019,TV-14,117 min,"Dramas, International Movies, Romantic Movies"
309,s578,TV Show,Masameer County,Malik Nejer,Saudi Arabia,07-01-2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies"
310,s573,Movie,Hampstead,Joel Hopkins,United Kingdom,07-01-2021,2019,PG-13,103 min,"Comedies, Dramas, International Movies"
